X1,Y1,X2,Y2
702.15,92.944,512.39,161.53
710.14,95.209,510.29,166.29
718.26,97.451,508.16,171.11
725.77,99.135,506.2,175.78
733.46,100.7,504.77,179.15
740.45,101.97,502.71,184.18
747.2,103.05,501.15,188.25
753.56,103.96,499.54,192.34
760.42,104.8,497.98,196.28
766.8,105.49,496.66,199.85
772.74,106.08,495.51,202.82
777.83,106.66,494.03,206.77
784.03,107.19,492.7,210.02
788.49,107.51,491.58,213.04
791.59,107.4,490.61,215.61
804.31,112.56,489.29,218.8
792.72,128.31,488.49,220.88
776.48,136.02,486.95,224.28
760.69,143.88,486.12,226.26
746.26,151.86,484.93,229
733.57,158.19,483.38,232.34
721.77,163.31,482.56,233.97
711.46,167.59,481.56,236.12
701.94,171.23,480.31,238.55
691.84,175.09,479.43,240.49
682.75,178.51,478.35,242.59
674.23,181.6,477.44,244.36
666.11,184.53,476.38,246.33
658.13,187.37,475.36,248.18
651.03,189.95,474.45,249.93
644.77,192.07,473.44,251.64
638.37,194.36,472.55,253.15
632.35,196.51,471.94,254.18
626.42,198.85,470.87,255.79
620.27,201.29,470.07,257.06
615.43,203.37,469.34,258.36
608.52,206.16,468.18,259.89
599.84,203.11,467.48,261.04
581.32,196.82,466.93,261.85
564.03,192.47,466.12,263.11
546.57,187.46,465.28,264.27
531.42,182.58,464.44,265.36
517.41,177.91,464.04,266.06
504.4,173.7,463.01,267.44
492.16,170.14,462.31,268.43
481.09,167.08,461.7,269.3
469.61,164.1,461.41,269.75
460.3,161.77,460.93,270.33
452.25,159.66,459.91,271.78
447.79,158.35,459.71,272.02
446.29,157.39,459.34,272.38
441.25,150.14,458.97,272.83
436.38,136.63,458.39,273.81
430.44,112.1,458.05,274.25
430.6,96.594,455.86,275.08
430.19,85.795,466.36,286.12
436.34,75.637,486.81,297.39
443.02,75.542,499.33,310.74
459.27,75.734,507.58,326.07
467.25,86.538,514.04,341.12
468.83,95.451,519.96,354.64
472,105.15,526.3,367.69
477.06,116.78,532.12,378.88
483.44,126.73,538.28,388.78
489.04,134.04,544.56,399.88
494.6,139.82,538.57,412.53
499.03,151.68,527.61,416.78
501.17,168.51,514.48,420.21
504.91,185.27,502,423.56
509.71,199.61,491.42,426.57
515.79,213.83,481.96,429.65
521.26,225.09,473.06,432.8
526.93,235.39,465.05,435.75
532.4,244.88,458.9,438.74
537.8,253.52,451.29,442.38
543.37,262.02,444.63,441.49
548.75,269.37,441.13,438.16
554.89,276.72,436.81,430.84
561.08,283.48,433.72,416.79
567.53,289.58,433.83,403.1
573.97,294.42,434.04,391.94
575.42,306.99,434.02,382.74
563.71,314.41,433.75,373.15
552.72,318.38,433.55,365.53
539.88,322.68,432.94,356.65
528.81,325.89,432.65,348.34
519.01,328.28,431.95,339.71
507.59,330.57,431.68,333.76
501.77,331.78,431.41,326.42
490.42,334.23,430.96,319.17
483.13,336.03,430.6,313.49
475.9,338.01,430.67,307.91
468.98,340.23,433.24,300.8
462.78,342.26,434.29,289.71
456.27,344.74,438.1,267.45
451.97,346.12,442.92,254.73
448.32,347,446.71,244.31
447.68,347.69,450.25,232.74
448.29,348.4,452.77,222.49
448.64,349.28,454.77,212.2
449.18,350.25,456.06,200.88
445.38,353.52,457.01,190.9
440.22,352.92,457.54,178.45
436.41,348.5,453.52,171.71
431.73,335.55,449.05,171.33
430.4,324.51,444.96,173.05
430.16,314.55,445.24,174.52
429.83,304.61,444.95,177.12
429.74,296.58,444.59,179.89
429.33,286.06,444.47,181.97
429.85,275.86,444.97,183.24
430.2,269.28,445.18,184.67
430.41,260.92,442.62,186.74
430.48,250.8,440.2,199.95
430.56,240.69,438.96,206.53
430.63,230.58,435.22,215.05
430.7,220.47,432.93,219.58
430.78,210.36,432.89,222.84
430.85,200.25,432.42,232.67
430.92,190.14,435.82,243.28
430.99,180.03,444.66,267.95
430.92,170.05,451.34,274.03
431.04,161.57,458.81,280.17
431.07,154.86,465.62,285.51
430.81,148.39,472.24,290.43
432.64,142.3,479.11,295.25
437.2,134.42,485.1,299.6
440.8,125.89,491.22,303.99
443.91,123.06,496.62,307.83
442.21,125.94,502.19,311.78
439.25,131.58,507.08,315.4
437.27,136.11,511.44,318.7
435.5,141.75,516.08,322.28
434.43,148.29,519.95,325.39
433.02,157.13,524.22,327.76
434.33,171.91,527.35,336.66
436.84,182.36,522.06,343.51
438.66,191.77,515.14,347.71
439.89,200.54,507.56,351.9
440.53,208.16,500.47,355.75
440.72,214.77,493.54,360.02
440.43,221.41,487.8,363.91
439.91,228.21,482.86,367.8
439.23,233.91,478.22,371.69
438.4,239.72,473.51,375.84
437.67,244.46,469.26,379.86
436.72,249.37,465.75,383.63
437.15,261.33,462.2,387.86
442.44,272.02,455.84,390.57
447.48,280.38,449.14,390.79
451.59,287.34,445.74,391.94
455.63,294.73,444.43,393.36
458.93,301.58,441.61,389.45
461.85,308.56,440.74,384.78
464.31,315.22,439.5,377.6
466.66,321.58,438.49,371.34
469.1,328.06,437.5,365.15
471.42,334.12,438.25,361.36
473.79,340.17,440.03,357.23
475.6,345.29,439.17,352.61
477.29,351.1,437.45,338.17
478.57,356.74,438.76,324.49
479.67,362.03,440.62,313.75
480.81,366.89,441.91,304.18
481.84,371.53,442.57,295.62
482.92,376.02,443.28,286.75
483.87,379.87,443.5,278.64
484.88,384.54,443.62,270.64
485.62,387.69,443.69,262.97
486.55,391.96,443.71,255.46
487.26,395.5,443.74,248.29
487.88,399.84,445.12,239.18
488.36,403.22,447.32,232.35
488.78,407.15,449.34,224.26
489.2,409.05,450.33,216.6
489.1,417.56,451.2,207.23
478.4,419.86,451.72,200.7
465.01,416.92,452.18,190.92
453.13,414.16,452.49,185.32
447.65,413.48,452.81,178.25
440.53,411.75,452.95,171.38
435.4,400.78,453.19,163.6
435.23,390.24,453.43,157.05
435.08,380.98,453.4,153.12
433.95,371.63,454.34,146.23
432.88,362.69,459.2,140.55
431.77,354.08,467.02,137.49
431.42,350.65,474.76,135.46
430.88,344.76,483.98,132.81
430.14,338.26,492.02,130.39
429.55,327.28,499,127.99
431.05,317.76,505.85,125.46
432.86,306.76,511.74,122.52
434.23,298.17,518.14,120.56
435.01,291.3,528.26,125.34
435.6,284.57,536.37,133.5
435.93,278.69,545.11,142.56
436.25,272.29,553.53,150.9
436.16,266.01,561.45,158.24
436.03,259.73,568.67,165.04
435.72,253.99,577.11,173.33
435.46,248.5,583.12,179.31
435.12,243.57,589.39,185.76
434.71,238.41,595.04,191.61
434.19,232.93,599.57,195.27
433.75,228.83,603.45,204.22
433.14,223.25,600.04,213.48
432.88,219.56,593.49,217.84
432.43,214.52,585.61,221.83
431.98,210,578.09,225.38
431.93,208.76,571.48,228.71
431.34,203.49,564.8,232.21
434.31,190.58,559,235.59
442.15,188.97,554.13,238.63
448.23,189.89,548.8,242.16
454.25,190.71,543.26,245.88
460.71,192.11,538.79,249.1
466.43,194.03,534.52,251.96
471.11,195.69,530.39,254.93
475.44,197.58,525.82,258.04
479.17,199.56,522.13,260.61
482.65,201.88,518.24,263.08
486.06,204.1,514.25,265.73
489.06,206.1,510.9,267.98
492.03,207.72,507.28,270.38
494.52,209.45,503.38,272.99
494.05,213.35,500.51,274.93
488.8,216.82,497.42,277.01
482.44,219.27,494.27,279.14
475.77,221.33,491.24,281.15
470.23,222.77,488.53,282.93
465.54,224.18,485.27,285.05
461.78,225.58,482.01,287.34
458.23,227.14,479.61,288.91
455.62,228.52,477.12,290.6
453.21,229.98,474.79,292.21
450.91,231.58,472.62,293.61
449.23,232.84,470.27,295.13
447.27,234.4,468.47,296.27
445.3,236.28,466.29,297.7
444.33,237.33,464.89,298.66
444.72,237.55,462.81,299.5
444.59,241.84,459.49,302.31
447.16,246.26,459.49,307.2
445.26,247.08,463.47,311.4
443.93,242.65,468.38,314.5
443.19,238.92,473.45,317.55
441.09,233.09,478.5,320.44
440.77,229.09,482.65,322.84
440.3,224.64,486.51,325.2
438.34,220.55,490.63,327.76
437.22,207.03,493.44,329.79
444.07,195.92,496.35,333.08
449.21,190.14,501.91,333.38
453.17,184.85,505.08,324.52
457.45,179.16,505.04,315.03
461.28,174.75,505.2,305.65
465.41,171,506.37,297.27
469.87,166.43,508.53,288.61
474.2,159.17,510.55,281.65
475.04,148.65,512.49,274.59
475.21,135.52,514.26,266.2
