X1,Y1,W1,H1,X2,Y2,W2,H2
130,35,45,60,200,30,75,55
115,40,50,30,210,30,70,50
110,45,50,35,205,60,70,55
110,50,45,40,195,70,65,45
110,50,50,45,190,70,75,55
115,45,65,50,195,70,75,55
110,50,60,50,190,70,60,35
105,50,55,55,190,70,65,40
105,50,60,60,180,80,60,35
105,50,65,60,180,80,65,40
95,60,55,50,170,85,55,40
95,60,60,50,175,80,65,40
95,60,65,55,165,90,60,40
90,60,60,50,160,90,60,35
85,65,60,55,155,95,60,35
80,70,60,50,155,95,60,40
80,70,60,55,155,95,65,40
85,65,70,60,145,100,60,40
75,75,60,50,145,100,60,40
70,80,55,55,150,95,70,65
70,80,45,60,135,105,55,35
70,80,50,70,130,105,95,45
65,90,60,70,120,110,100,55
70,85,65,80,115,115,95,55
60,95,55,75,105,125,95,55
60,95,55,80,105,125,95,60
50,105,45,70,110,115,85,80
50,115,50,80,120,110,60,85
50,100,35,30,90,145,75,65
50,95,20,55,70,155,65,35
50,130,50,45,55,135,55,45
50,130,45,50,50,135,45,50
50,135,40,45,50,140,40,45
50,140,35,40,50,145,35,40
50,145,40,50,50,150,40,50
50,150,40,55,50,155,40,55
50,155,45,60,50,170,40,55
50,155,45,75,60,150,55,80
50,155,45,85,65,145,60,80
50,155,45,85,70,140,65,45
55,150,45,30,80,130,70,40
50,260,5,20,85,130,70,40
50,260,5,30,90,125,70,35
50,260,10,40,95,125,65,35
50,265,15,55,100,120,70,35
55,275,15,65,105,120,75,35
55,280,20,70,110,115,75,35
60,290,15,70,115,115,75,35
60,300,10,70,120,110,75,35
65,305,15,75,120,110,70,30
65,315,10,65,130,105,75,35
65,320,10,75,130,105,75,35
70,330,10,85,135,105,80,35
70,335,5,65,145,100,75,35
70,340,5,70,145,100,80,35
70,350,5,80,145,100,70,30
70,355,10,85,150,100,75,30
70,360,10,80,155,95,90,40
70,365,10,75,160,95,75,35
70,365,10,60,160,95,80,35
60,380,35,35,160,95,80,35
75,405,30,40,170,90,85,40
90,395,35,60,170,90,75,35
95,380,35,65,170,90,75,35
105,365,35,60,175,90,80,40
